id,collection,dspace.entity.type,nrcan.sponsor.code,nrcan.sponsor.program[en],nrcan.sponsor.program[fr],dc.title[en],dc.title[fr],nrcan.sponsor.url[en],nrcan.sponsor.url[fr]
+,123456789s/21,Sponsor,N04,Topographic Mapping,Cartographie topographique,New Topographic Datasets - North,Nouveaux ensembles de données topographiques - Nord,,
+,123456789s/21,Sponsor,P07,Atlas of Canada,Atlas du Canada,Atlas of Canada - Program Management,l'Atlas du Canada - Gestion de programme,,
+,123456789s/21,Sponsor,R00115,Public Safety Geoscience,Géoscience pour la sécurité publique,Nuclear Waste Management Organization,Société de gestion des déchets nucléaires,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,R00310,Environmental Geoscience,Géosciences environnementales,Aquistore Project,Projet Aquistore,https://www.nrcan.gc.ca/earth-sciences/resources/federal-pro grams/environmental-geoscience/10902,https://www.rncan.gc.ca/sciences-terre/ressources/programmes -federaux/geoscience-environnementale/10903
+,123456789s/21,Sponsor,R00572,Energy Geoscience,Géosciences de l'énergie,Offshore Geoscience Collaboration,Collaboration géoscientifique extracôtière,https://www.nrcan.gc.ca/earth-sciences/earth-sciences-resources/energy-geoscience/10890,https://www.rncan.gc.ca/sciences-de-la-terre/ressources-sciences-de-la-terre/geosciences-lenergie/10891
+,123456789s/21,Sponsor,RR1001,Public Safety Geoscience,Géoscience pour la sécurité publique,Reducing Risk Program Management,Gestionnaire de programme - Réduction des risques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,RR2000,Public Safety Geoscience,Géoscience pour la sécurité publique,Targeted Hazard Assessments in Western Canada,Évaluations ciblées des dangers dans l'Ouest  du Canada,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,RR3000,Public Safety Geoscience,Géoscience pour la sécurité publique,Eastern Canada Geohazards Assessment Project,Projet d'évaluation des risques géographiques de l'Est du Canada,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,RR4000,Public Safety Geoscience,Géoscience pour la sécurité publique,Targeted Hazard Assessments in Northern Canada,Évaluations ciblées des dangers dans le nord du Canada,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,RR5000,Public Safety Geoscience,Géoscience pour la sécurité publique,Quantitative risk assessment,Évaluation quantitative des risques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,RR6000,Public Safety Geoscience,Géoscience pour la sécurité publique,Increasing Personal Preparation for GeoHazards,Augmenter la préparation personnelle pour GeoHazards,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,RR7000,Public Safety Geoscience,Géoscience pour la sécurité publique,National-Scale Geohazard Assessments,Évaluation des risques géographiques à l'échelle nationale,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
