id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Spiers Lake National Wildlife Area,Réserve nationale de faune du Lac Spiers,geo names db
+,123456789s/18,Area,Meanook National Wildlife Area,Réserve nationale de faune de Meanook,geo names db
+,123456789s/18,Area,Blue Quills National Wildlife Area,Réserve nationale de faune de Blue Quills,geo names db
+,123456789s/18,Area,Wascana Lake Bird Sanctuary,Refuge d'oiseaux du lac Wascana,geo names db
+,123456789s/18,Area,Val Marie Reservoir Bird Sanctuary,Refuge d'oiseaux du réservoir Val-Marie,geo names db
+,123456789s/18,Area,Saskatchewan River,Rivière Saskatchewan,geo names db
+,123456789s/18,Area,Upper Rousay Lake Bird Sanctuary,Refuge d'oiseaux du lac Upper-Rousay,geo names db
+,123456789s/18,Area,Sutherland Bird Sanctuary,Refuge d'oiseaux de Sutherland,geo names db
+,123456789s/18,Area,Scent Grass Lake Bird Sanctuary,Refuge d'oiseaux du lac Scent Grass,geo names db
+,123456789s/18,Area,Redberry Lake Bird Sanctuary,Refuge d'oiseaux du lac Redberry,geo names db
+,123456789s/18,Area,Opuntia Lake Bird Sanctuary,Refuge d'oiseaux du lac Opuntia,geo names db
+,123456789s/18,Area,Old Wives Lake Bird Sanctuary,Refuge d'oiseaux du lac Old Wives,geo names db
+,123456789s/18,Area,Neely Lake Bird Sanctuary,Refuge d'oiseaux du lac Neely,geo names db
+,123456789s/18,Area,Murray Lake Bird Sanctuary,Refuge d'oiseaux du lac Murray,geo names db
+,123456789s/18,Area,Lenore Lake Bird Sanctuary,Refuge d'oiseaux du lac Lenore,geo names db
+,123456789s/18,Area,Mt. St. Bruno Range and Training Area,Champ de tir et champ de manoeuvre Mont Saint Bruno,geo names db
+,123456789s/18,Area,Last Mountain Lake Bird Sanctuary,Refuge d'oiseaux du lac de la Dernière-Montagne,geo names db
+,123456789s/18,Area,Indian Head Bird Sanctuary,Refuge d'oiseaux d'Indian-Head,geo names db
+,123456789s/18,Area,Duncairn Reservoir Bird Sanctuary,Refuge d'oiseaux de Duncairn Reservoir,geo names db
+,123456789s/18,Area,Basin and Middle Lakes Bird Sanctuary,Refuge d'oiseaux des lacs Basin et Middle,geo names db
+,123456789s/18,Area,Webb National Wildlife Area,Réserve nationale de faune de Webb,geo names db
+,123456789s/18,Area,Tway National Wildlife Area,Réserve nationale de faune de Tway,geo names db
+,123456789s/18,Area,Rainy River,Rivière à la Pluie,geo names db
+,123456789s/18,Area,Stalwart National Wildlife Area,Réserve nationale de faune de Stalwart,geo names db
+,123456789s/18,Area,St. Denis National Wildlife Area,Réserve nationale de faune de St-Denis,geo names db
+,123456789s/18,Area,Kakabeka Falls Training Area,Champ de manoeuvre Kakabeka Falls,geo names db
+,123456789s/18,Area,Raven Island National Wildlife Area,Réserve nationale de faune de l'île-Raven,geo names db
+,123456789s/18,Area,Prairie National Wildlife Area,Réserve nationale de faune des Prairies,geo names db
+,123456789s/18,Area,Last Mountain Lake National Wildlife Area,Réserve nationale de faune du Lac-Last-Mountain,geo names db
+,123456789s/18,Area,Bradwell National Wildlife Area,Réserve nationale de faune de Bradwell,geo names db
+,123456789s/18,Area,Rockwood National Wildlife Area,Réserve nationale de faune de Rockwood,geo names db
+,123456789s/18,Area,Pope National Wildlife Area,Réserve nationale de faune de Pope,geo names db
+,123456789s/18,Area,Montmorency Park National Historic Site of Canada,Lieu historique national du Canada du Parc-Montmorency,geo names db
+,123456789s/18,Area,Upper Canada Bird Sanctuary,Refuge d'oiseaux du Haut-Canada,geo names db
+,123456789s/18,Area,St. Joseph's Island Bird Sanctuary,Refuge d'oiseaux de l'île St.-Joseph,geo names db
+,123456789s/18,Area,Rideau Bird Sanctuary,Refuge d'oiseaux de Rideau,geo names db
+,123456789s/18,Area,Moose River Bird Sanctuary,Refuge d'oiseaux de la Rivière Moose,geo names db
+,123456789s/18,Area,Mississippi Lake Bird Sanctuary,Refuge d'oiseaux du Lac Mississippi,geo names db
+,123456789s/18,Area,Prices Brook,Ruisseau Prices,geo names db
+,123456789s/18,Area,Eleanor Island Bird Sanctuary,Refuge d'oiseaux de l'île Eleanor,geo names db
+,123456789s/18,Area,Chantry Island Bird Sanctuary,Refuge d'oiseaux de l'île Chantry,geo names db
