id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Peace River,Rivière de la Paix,geo names db
+,123456789s/18,Area,Lincoln Sea,Mer de Lincoln,geo names db
+,123456789s/18,Area,Mabille Lake,Lac Mabille,geo names db
+,123456789s/18,Area,Alexandra Point Range,Champ de tir Alexandra Point,geo names db
+,123456789s/18,Area,Point Clark Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-la-Pointe-Clark,geo names db
+,123456789s/18,Area,Cornwall's Point,Pointe de Cornwall,geo names db
+,123456789s/18,Area,Prince Edward Island National Park of Canada,Parc national du Canada de l'×le-du-Prince-douard,geo names db
+,123456789s/18,Area,Ardgowan National Historic Site of Canada,Lieu historique national du Canada Ardgowan,geo names db
+,123456789s/18,Area,Dalvay-by-the-Sea National Historic Site of Canada,Lieu historique national du Canada Dalvay-by-the-Sea,geo names db
+,123456789s/18,Area,Province House National Historic Site of Canada,Lieu historique national du Canada Province House,geo names db
+,123456789s/18,Area,Port-la-Joye-Fort Amherst National Historic Site of Canada,Lieu historique national du Canada de Port-la-Joye-Fort-Amherst,geo names db
+,123456789s/18,Area,Gulf of St. Lawrence,Golfe du Saint-Laurent,geo names db
+,123456789s/18,Area,Canadian Forces Base Gagetown,Base des Forces canadiennes Gagetown,geo names db
+,123456789s/18,Area,Green River,Rivière Verte,geo names db
+,123456789s/18,Area,Saint John River,Rivière Saint-Jean,geo names db
+,123456789s/18,Area,Mackenzie River,Fleuve Mackenzie,geo names db
+,123456789s/18,Area,Great Bear Lake,Grand lac de l'Ours,geo names db
+,123456789s/18,Area,Second Falls,Deuxième Sault,geo names db
+,123456789s/18,Area,Great Slave Lake,Grand lac des Esclaves,geo names db
+,123456789s/18,Area,Grand Falls,Grand-Sault,geo names db
+,123456789s/18,Area,Northwest Territories,Territoires du Nord-Ouest,geo names db
+,123456789s/18,Area,Northumberland Strait,Détroit de Northumberland,geo names db
+,123456789s/18,Area,Caissie Cape,Cap-des-Caissie,geo names db
+,123456789s/18,Area,New Brunswick,Nouveau-Brunswick,geo names db
+,123456789s/18,Area,Gagetown Range and Training Area,Champ de tir et champ de manoeuvre Gagetown,geo names db
+,123456789s/18,Area,Aulavik National Park of Canada,Parc national du Canada Aulavik,geo names db
+,123456789s/18,Area,Nahanni National Park,Réserve de parc national du Canada Nahanni,geo names db
+,123456789s/18,Area,Tuktut Nogait National Park of Canada,Parc national du Canada Tuktut Nogait,geo names db
+,123456789s/18,Area,Gloucester Junction Range and Training Area,Champ de tir et champ de manoeuvre Gloucester Junction,geo names db
+,123456789s/18,Area,Mill Hill Training Area,Champ de manoeuvre Mill Hill,geo names db
+,123456789s/18,Area,Moncton Range,Champ de tir Moncton,geo names db
+,123456789s/18,Area,Sussex Training Area,Champ de manoeuvre Sussex,geo names db
+,123456789s/18,Area,Roosevelt Campobello International Park,Parc international Roosevelt Campobello,geo names db
+,123456789s/18,Area,Charlotte County Court House,Palais de justice du comté de Charlotte,geo names db
+,123456789s/18,Area,Charlotte County Gaol,Prison du comté de Charlotte,geo names db
+,123456789s/18,Area,Charlotte County Registry Office,Bureau de l'enregistrement du comté de Charlotte,geo names db
+,123456789s/18,Area,Dunn McQuoid House,Maison Dunn McQuoid,geo names db
+,123456789s/18,Area,Miramichi Golf Club,Club de golf Miramichi,geo names db
+,123456789s/18,Area,Saint Paul's Anglican Church,glise anglicane Saint Paul's,geo names db
+,123456789s/18,Area,MacDonald Farm,Ferme MacDonald,geo names db
+,123456789s/18,Area,Old Carleton County Court House,Ancien palais de justice du comté de Carleton,geo names db
+,123456789s/18,Area,St. Paul River,Rivière Saint-Paul,geo names db
+,123456789s/18,Area,Lake Nipigon,Lac Nipigon,geo names db
+,123456789s/18,Area,Bonar Law House,Maison de Bonar Law,geo names db
+,123456789s/18,Area,Archdeacon Hiram A. Cody House,Maison de l'archidiacre Hiram A. Cody,geo names db
+,123456789s/18,Area,Keillor House,Maison de Keillor,geo names db
+,123456789s/18,Area,Old Northumberland County Court House,Ancien palais de justice du comt de Northumberland,geo names db
+,123456789s/18,Area,Chipman Hill Properties,Propriétés Chipman Hill,geo names db
+,123456789s/18,Area,Former St. James United Church,Ancienne Église unie St. James,geo names db
+,123456789s/18,Area,Marine (Seaman's) Hospital,Hôpital Marine,geo names db
+,123456789s/18,Area,Old St. Michael's Rectory,Ancien presbytère St. Michael's,geo names db
+,123456789s/18,Area,Dr. George F. Clarke House,Maison du Dr. George F. Clarke,geo names db
+,123456789s/18,Area,Gladstone Smith House,Maison de Gladstone Smith,geo names db
+,123456789s/18,Area,Bell Inn,Le Bell Inn,geo names db
+,123456789s/18,Area,Pagan-O'Neil House,Maison de Pagan-O'Neil,geo names db
+,123456789s/18,Area,Sheriff Andrews House,Maison du shérif Andrews,geo names db
+,123456789s/18,Area,Queenston Heights National Historic Site of Canada,Lieu historique national du Canada des Hauteurs-de-Queenston,geo names db
+,123456789s/18,Area,Digges Sound,Passe Digges,geo names db
+,123456789s/18,Area,Canadian Forces Station Masset,Station des Forces canadiennes Masset,geo names db
+,123456789s/18,Area,Hansen House,Maison de Hansen,geo names db
+,123456789s/18,Area,Coteau-du-Lac National Historic Site of Canada,Lieu historique national du Canada de Coteau-du-Lac,geo names db
+,123456789s/18,Area,Saint Lawrence Anglican Church,glise anglicane Saint Lawrence,geo names db
+,123456789s/18,Area,The Church of St. Mary the Virgin,L'Église anglicane St. Mary the Virgin,geo names db
+,123456789s/18,Area,Holy Trinity Anglican Church,Église anglicane Holy Trinity,geo names db
+,123456789s/18,Area,Doak House,Lieu historique Doak,geo names db
+,123456789s/18,Area,The Enclosure,Camp de l'Espérance,geo names db
+,123456789s/18,Area,Partridge Island,Île Partridge,geo names db
+,123456789s/18,Area,Military Compound,Quartier militaire,geo names db
+,123456789s/18,Area,Beaverbrook House,Maison Beaverbrook,geo names db
+,123456789s/18,Area,Wood Block,Édifice Wood,geo names db
+,123456789s/18,Area,Hampton Gaol,Prison de Hampton,geo names db
+,123456789s/18,Area,Calvin Church/Shaarei Zedek Synagogue and Saint John Jewish Community Centre,Église Calvin/Synagogue Shaarei-Zedek et Centre communautaire juif de Saint-Jean,geo names db
+,123456789s/18,Area,42nd Highland Memorial Cemetery,Cimitière 42nd Highland Memorial,geo names db
+,123456789s/18,Area,Old Trinity Anglican Church,Ancienne Église anglicane Trinity,geo names db
+,123456789s/18,Area,Sir Leonard Tilley House,Maison de Sir Leonard Tilley,geo names db
+,123456789s/18,Area,Saugeen Creek,Ruisseau Saugeen,geo names db
+,123456789s/18,Area,Twin Falls Territorial Park,Parc territorial des chutes Twin,geo names db
+,123456789s/18,Area,Blackstone Territorial Park,Parc territorial Blackstone,geo names db
+,123456789s/18,Area,Hidden Lake Territorial Park,Parc territorial du lac Hidden,geo names db
+,123456789s/18,Area,Gwich'in Territorial Park,Parc territorial Gwich'in,geo names db
+,123456789s/18,Area,Lake Abitibi,Lac Abitibi,geo names db
+,123456789s/18,Area,Fred Henne Territorial Park,Parc territorial Fred Henne,geo names db
+,123456789s/18,Area,Coast Mountains,Chaîne Côtière,geo names db
+,123456789s/18,Area,Saint-Louis Mission National Historic Site of Canada,Lieu historique national du Canada de la Mission-Saint-Louis,geo names db
+,123456789s/18,Area,Forges du Saint-Maurice National Historic Site of Canada,Lieu historique national du Canada des Forges-du-Saint-Maurice,geo names db
+,123456789s/18,Area,Red Bay Basque Whaling Station,Station de baleiniers basques de Red Bay,geo names db
+,123456789s/18,Area,Lake Ontario,Lac Ontario,geo names db
+,123456789s/18,Area,Vancouver Island,Île de Vancouver,geo names db
+,123456789s/18,Area,Ottawa River,Rivière des Outaouais,geo names db
+,123456789s/18,Area,Canadian Forces Station Aldergrove,Station des Forces canadiennes Aldergrove,geo names db
+,123456789s/18,Area,Canadian Forces Base Comox,Base des Forces canadiennes Comox,geo names db
+,123456789s/18,Area,Canadian Forces Base Esquimalt,Base des Forces canadiennes Esquimalt,geo names db
+,123456789s/18,Area,Canadian Forces Station Alert,Station des Forces canadiennes Alert,geo names db
+,123456789s/18,Area,Baffin Bay,Baie de Baffin,geo names db
+,123456789s/18,Area,Baffin Island,île de Baffin,geo names db
+,123456789s/18,Area,Davis Strait,Détroit de Davis,geo names db
+,123456789s/18,Area,Canadian Forces Station Holberg,Station des Forces canadiennes Holberg,geo names db
+,123456789s/18,Area,Ellesmere Island,île d'Ellesmere,geo names db
+,123456789s/18,Area,Senecal Lake,Lac Sénécal,geo names db
+,123456789s/18,Area,Hudson Bay,Baie d'Hudson,geo names db
+,123456789s/18,Area,Corankapone Lake,Lac Corankapone,geo names db
+,123456789s/18,Area,Hudson Strait,Détroit d'Hudson,geo names db
+,123456789s/18,Area,James Bay,Baie James,geo names db
+,123456789s/18,Area,Ungava Bay,Baie d'Ungava,geo names db
+,123456789s/18,Area,Castalia Provincial Park,Parc provincial Castalia,geo names db
+,123456789s/18,Area,Amherst Point Bird Sanctuary,Refuge d'oiseaux d'Amherst Point,geo names db
+,123456789s/18,Area,Sir John Johnson House National Historic Site of Canada,Lieu historique national du Canada de la Maison-de-Sir-John-Johnson,geo names db
+,123456789s/18,Area,Fort Chambly National Historic Site of Canada,Lieu historique national du Canada du Fort-Chambly,geo names db
+,123456789s/18,Area,Auyuittuq National Park of Canada,Parc national du Canada Auyuittuq,geo names db
+,123456789s/18,Area,Sirmilik National Park of Canada,Parc national du Canada Sirmilik,geo names db
+,123456789s/18,Area,Quttinirpaaq National Park of Canada,Parc national du Canada Quttinirpaaq,geo names db
+,123456789s/18,Area,Niagara Falls,Chutes Niagara,geo names db
+,123456789s/18,Area,Boot Island National Wildlife Area,Réserve nationale de faune de l'île Boot,geo names db
+,123456789s/18,Area,Chignecto National Wildlife Area,Réserve nationale de faune de Chignecto,geo names db
+,123456789s/18,Area,Sand Pond National Wildlife Area,Réserve nationale de faune de Sand Pond,geo names db
+,123456789s/18,Area,Armstrong Creek,Ruisseau Armstrong,geo names db
+,123456789s/18,Area,Sea Wolf Island National Wildlife Area,Réserve nationale de faune de l'île Sea Wolf,geo names db
+,123456789s/18,Area,Mercereau River,Rivière Mercereau,geo names db
+,123456789s/18,Area,Wallace Bay National Wildlife Area,Réserve nationale de faune de Wallace Bay,geo names db
+,123456789s/18,Area,Kootenae House National Historic Site of Canada,Lieu historique national du Canada Kootenae House,geo names db
+,123456789s/18,Area,Fortifications of Québec National Historic Site of Canada,Lieu historique national du Canada des Fortifications-de-Québec,geo names db
+,123456789s/18,Area,Hodges Point,Pointe Hodges,geo names db
+,123456789s/18,Area,States Brook,Ruisseau States,geo names db
+,123456789s/18,Area,Big Glace Bay Lake Bird Sanctuary,Refuge d'oiseaux du Big Glace Bay,geo names db
+,123456789s/18,Area,Haley Lake Bird Sanctuary,Refuge d'oiseaux du lac Haley,geo names db
+,123456789s/18,Area,Kentville Bird Sanctuary,Refuge d'oiseaux de Kentville,geo names db
+,123456789s/18,Area,Port Hebert Bird Sanctuary,Refuge d'oiseaux de Port Hébert,geo names db
+,123456789s/18,Area,Port Joli Bird Sanctuary,Refuge d'oiseaux de Port-Joli,geo names db
+,123456789s/18,Area,Sable Island Bird Sanctuary,Refuge d'oiseaux de l'île-de-Sable,geo names db
+,123456789s/18,Area,Sable River Bird Sanctuary,Refuge d'oiseaux de la rivière du Sable,geo names db
+,123456789s/18,Area,John Lusby Marsh National Wildlife Area,Réserve nationale de faune du marais John Lusby,geo names db
+,123456789s/18,Area,Southwold Earthworks National Historic Site of Canada,Lieu historique national du Canada des Remblais-de-Southwold,geo names db
+,123456789s/18,Area,Lake Nipissing,Lac Nipissing,geo names db
+,123456789s/18,Area,Fort Lennox National Historic Site of Canada,Lieu historique national du Canada du Fort-Lennox,geo names db
+,123456789s/18,Area,Woodside National Historic Site of Canada,Lieu historique national du Canada Woodside,geo names db
+,123456789s/18,Area,Gulf Islands National Park Reserve of Canada,Réserve de parc national du Canada des îles-Gulf,geo names db
+,123456789s/18,Area,Leo's Island,Lac de Leo,geo names db
+,123456789s/18,Area,Benedict Brook,Ruisseau Benedict,geo names db
+,123456789s/18,Area,Greater Sudbury,Grand Sudbury,geo names db
+,123456789s/18,Area,Muskrat Rapids,Rapides Muskrat,geo names db
+,123456789s/18,Area,François Lake,Lac François,geo names db
+,123456789s/18,Area,Fundy Trail Provincial Park,Parc provincial du sentier Fundy,geo names db
+,123456789s/18,Area,Sunday Creek,Ruisseau Sunday,geo names db
+,123456789s/18,Area,Rideau Canal,Canal Rideau,geo names db
+,123456789s/18,Area,Black Rapids,Rapides Black,geo names db
+,123456789s/18,Area,Georgian Bay,Baie Georgienne,geo names db
+,123456789s/18,Area,Teed Brook,Ruisseau Teed,geo names db
+,123456789s/18,Area,Fort Temiscamingue National Historic Site of Canada,Lieu historique national du Canada du Fort-Témiscamingue,geo names db
+,123456789s/18,Area,Bruce Peninsula National Park of Canada,Parc national du Canada de la Péninsule-Bruce,geo names db
+,123456789s/18,Area,Landscape of Grand Pré,Paysage de Grand-Pré,geo names db
+,123456789s/18,Area,Annapolis Valley First Nation,Première Nation de la vallée de l'Annapolis,geo names db
+,123456789s/18,Area,Sault Ste. Marie Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Sault Ste. Marie,geo names db
+,123456789s/18,Area,Boundary Hill,Colline Boundary,geo names db
+,123456789s/18,Area,Grosse île and the Irish Memorial National Historic Site of Canada,Lieu historique national du Canada de la Grosse-île-et-le-Mémorial-des-Irlandais,geo names db
+,123456789s/18,Area,Bujeault River,Rivière Bujeault,geo names db
+,123456789s/18,Area,Georgian Bay Islands National Park of Canada,Parc national du Canada des îles-de-la-Baie-Georgienne,geo names db
+,123456789s/18,Area,Battle Hill National Historic Site of Canada,Lieu historique national du Canada de la Colline-de-la-Bataille,geo names db
+,123456789s/18,Area,Battle of Cook's Mills National Historic Site of Canada,Lieu historique national du Canada de la Bataille-de-Cook's Mills,geo names db
+,123456789s/18,Area,Fort Sainte Marie de Grace National Historic Site of Canada,Lieu historique national du Canada du Fort-Sainte-Marie-de-Grace,geo names db
+,123456789s/18,Area,Bloody Creek National Historic Site of Canada,Lieu historique national du Canada Bloody Creek,geo names db
+,123456789s/18,Area,D'Anville's Encampment National Historic Site of Canada,Lieu historique national du Canada de l'Encampement-d'Anville,geo names db
+,123456789s/18,Area,Ridgeway Battlefield National Historic Site of Canada,Lieu historique national du Canada du Champ-de-Bataille-de-Ridgeway,geo names db
+,123456789s/18,Area,57-63 St. Louis Street National Historic Site of Canada,"Lieu historique national du Canada 57-63, rue Saint-Louis",geo names db
+,123456789s/18,Area,"Forts Rouge, Garry and Gibraltar National Historic Site of Canada","Lieu historique national du Canada Forts Rouge, Garry et Gibraltar",geo names db
+,123456789s/18,Area,Burwash Creek,Ruisseau Burwash,geo names db
+,123456789s/18,Area,Chilcotin Training Area,Secteur d'entrainement de Chilcotin,geo names db
+,123456789s/18,Area,Nanaimo Range,Champ de tir Nanaimo,geo names db
+,123456789s/18,Area,Norman Lake,Lac Norman,geo names db
+,123456789s/18,Area,Trent-Severn Waterway National Historic Site of Canada,Lieu historique national du Canada de la Voie-Navigable-Trent-Severn,geo names db
+,123456789s/18,Area,Lake Erie,Lac Érié,geo names db
+,123456789s/18,Area,Cedar Brook,Ruisseau Cedar,geo names db
+,123456789s/18,Area,Chaleur Bay,Baie des Chaleurs,geo names db
+,123456789s/18,Area,Lake Champlain,Lac Champlain,geo names db
+,123456789s/18,Area,Point Pelee National Park of Canada,Parc national du Canada de la Pointe-Pelée,geo names db
+,123456789s/18,Area,Louis-Joseph Papineau National Historic Site of Canada,Lieu historique national du Canada Louis-Joseph-Papineau,geo names db
+,123456789s/18,Area,Chanion Brook,Ruisseau Chanion,geo names db
+,123456789s/18,Area,Turcotte River,Rivière Turcotte,geo names db
+,123456789s/18,Area,Norman Rapids,Rapides Norman,geo names db
+,123456789s/18,Area,Baillie Settlement Protected Natural Area,Zone naturelle protégée de Baillie Settlement,geo names db
+,123456789s/18,Area,Berry Brook Protected Natural Area,Zone naturelle protégée du ruisseau Berry,geo names db
+,123456789s/18,Area,Big Bald Mountain Protected Natural Area,Zone naturelle protégée de la montagne Big Bald,geo names db
+,123456789s/18,Area,Big Rocky Brook Protected Natural Area,Zone naturelle protégée du ruisseau Big Rocky,geo names db
+,123456789s/18,Area,Bull Pasture Bog Protected Natural Area,Zone naturelle protégée Bull Pasture Bog,geo names db
+,123456789s/18,Area,Cains River Protected Natural Area,Zone naturelle protégée de la rivière Cains,geo names db
+,123456789s/18,Area,Clarke Brook Protected Natural Area,Zone naturelle protégée du ruisseau Clarke,geo names db
+,123456789s/18,Area,Dionne Brook Protected Natural Area,Zone naturelle protégée du ruisseau Dionne,geo names db
+,123456789s/18,Area,Dowdall Lake Protected Natural Area,Zone naturelle protégée du lac Dowdall,geo names db
+,123456789s/18,Area,Dungarvon Whooper Spring Woodlot Protected Natural Area,Zone naturelle protégée de la terre boisée Dungarvon Whooper Spring,geo names db
+,123456789s/18,Area,Eel River Protected Natural Area,Zone naturelle protégée de la rivière Eel,geo names db
+,123456789s/18,Area,Foley Island Protected Natural Area,Zone naturelle protge de l'île Foley,geo names db
+,123456789s/18,Area,Goodfellow Brook Protected Natural Area,Zone naturelle protégée du ruisseau Goodfellow,geo names db
+,123456789s/18,Area,Goose Lake Protected Natural Area,Zone naturelle protégée du lac Goose,geo names db
+,123456789s/18,Area,Gooseberry Cove Protected Natural Area,Zone naturelle protégée de Gooseberry Cove,geo names db
+,123456789s/18,Area,Goulette Brook Protected Natural Area,Zone naturelle protégée du ruisseau Goulette,geo names db
+,123456789s/18,Area,Howard Brook Protected Natural Area,Zone naturelle protégée du ruisseau Howard,geo names db
+,123456789s/18,Area,MacFarlane Brook Protected Natural Area,Zone naturelle protégée du ruisseau MacFarlane,geo names db
+,123456789s/18,Area,McDougalls Brook Protected Natural Area,Zone naturelle protégée du ruisseau McDougalls,geo names db
+,123456789s/18,Area,Miscou Grande Plaine Protected Natural Area,Zone naturelle protégée Miscou Grande Plaine,geo names db
+,123456789s/18,Area,Musquash Protected Natural Area,Zone naturelle protégée de Musquash,geo names db
+,123456789s/18,Area,Nepisiguit Protected Natural Area,Zone naturelle protégée Nepisiguit,geo names db
+,123456789s/18,Area,New River Protected Natural Area,Zone naturelle protégée de la rivière New,geo names db
+,123456789s/18,Area,Patchell Brook Protected Natural Area,Zone naturelle protégée du ruisseau Patchell,geo names db
+,123456789s/18,Area,Picadilly Mountain Protected Natural Area,Zone naturelle protégée de la montagne Picadilly,geo names db
+,123456789s/18,Area,Pollard Brook Protected Natural Area,Zone naturelle protégée du ruisseau Pollard,geo names db
+,123456789s/18,Area,Shinnickburn Protected Natural Area,Zone naturelle protégée Shinnickburn,geo names db
+,123456789s/18,Area,Tay River Protected Natural Area,Zone naturelle protégée de la rivière Tay,geo names db
+,123456789s/18,Area,Two Mile Brook Fen Protected Natural Area,Zone naturelle protégée du fen du ruisseau Two Mile,geo names db
+,123456789s/18,Area,Upper Thorn Point Brook Protected Natural Area,Zone naturelle protégée du ruisseau Upper Thorn Point,geo names db
+,123456789s/18,Area,Upsalquitch Forks Protected Natural Area,Zone naturelle protégée de la fourche Upsalquitch,geo names db
+,123456789s/18,Area,Whitehorse Island Protected Natural Area,Zone naturelle protégée de l'île Whitehorse,geo names db
+,123456789s/18,Area,Williamstown Lake Protected Natural Area,Zone naturelle protégée du lac Williamstown,geo names db
+,123456789s/18,Area,Labrador Sea,Mer du Labrador,geo names db
+,123456789s/18,Area,Victoria Harbour Bird Sanctuary,Refuge d'oiseaux du havre de Victoria,geo names db
+,123456789s/18,Area,Okikodosik Bay,Baie Okikodoski,geo names db
+,123456789s/18,Area,Louis S. St. Laurent National Historic Site of Canada,Lieu historique national du Canada Louis-S.-St-Laurent,geo names db
+,123456789s/18,Area,Pukaskwa National Park of Canada,Parc national du Canada Pukaskwa,geo names db
+,123456789s/18,Area,Murney Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Murney,geo names db
+,123456789s/18,Area,Akami-Uapishk-KakKasuak-Mealy Mountains National Park Reserve of Canada,Réserve de parc national du Canada Akami-Uapishk KakKasuak Monts Mealy,geo names db
+,123456789s/18,Area,Woolsey Narrows,Défilé Woolsey,geo names db
+,123456789s/18,Area,Chaudière Falls,Chute des Chaudières,geo names db
+,123456789s/18,Area,Maillou House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Maillou,geo names db
+,123456789s/18,Area,Lake Huron,Lac Huron,geo names db
+,123456789s/18,Area,Shoal Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Shoal,geo names db
+,123456789s/18,Area,Wright Creek,Ruisseau Wright,geo names db
+,123456789s/18,Area,Manoir Papineau National Historic Site of Canada,Lieu historique national du Canada du Manoir-Papineau,geo names db
+,123456789s/18,Area,Thousand Islands National Park of Canada,Parc national du Canada des Mille-îles,geo names db
+,123456789s/18,Area,Beaubassin East,Beaubassin-Est,geo names db
+,123456789s/18,Area,Kilgore Island,île Kilgore,geo names db
+,123456789s/18,Area,McDiarmid Creek,Ruisseau McDiarmid,geo names db
+,123456789s/18,Area,Petawawa Range and Training Area,Champ de tir et champ de manoeuvre Petawawa,geo names db
+,123456789s/18,Area,Pointe-au-Père Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-Pointe-au-Père,geo names db
+,123456789s/18,Area,Fathom Five National Marine Park of Canada,Parc marin national du Canada Fathom Five,geo names db
+,123456789s/18,Area,Chisholm Brook,Ruisseau Chisholm,geo names db
+,123456789s/18,Area,Sir George-tienne Cartier National Historic Site of Canada,Lieu historique national du Canada de Sir-George-tienne-Cartier,geo names db
+,123456789s/18,Area,Ahr Island,île Ahr,geo names db
+,123456789s/18,Area,Coverdale United Church,Église unie Coverdale,geo names db
+,123456789s/18,Area,Borden Range and Training Area,Champ de tir et champ de manoeuvre Borden,geo names db
+,123456789s/18,Area,Fort Henry National Historic Site of Canada,Lieu historique national du Canada du Fort-Henry,geo names db
+,123456789s/18,Area,Rouge National Urban Park of Canada,Parc urbain national du Canada de la Rouge,geo names db
+,123456789s/18,Area,Clarice Lake,Lac Clarice,geo names db
+,123456789s/18,Area,Saints Peter and Paul Church,Église Saints Peter and Paul,geo names db
+,123456789s/18,Area,Girouard Shipwreck Site,Lieu de naufrage Girouard,geo names db
+,123456789s/18,Area,Diggity Site,Lieu Diggity,geo names db
+,123456789s/18,Area,Augustine Mound,Tumulus Augustine,geo names db
+,123456789s/18,Area,Sunrise Creek,Ruisseau Sunrise,geo names db
+,123456789s/18,Area,Sir Wilfrid Laurier National Historic Site of Canada,Lieu historique national du Canada de Sir-Wilfrid-Laurier,geo names db
+,123456789s/18,Area,Little Mecatina River,Rivière du Petit Mécatina,geo names db
+,123456789s/18,Area,Battle of the Windmill National Historic Site of Canada,Lieu historique national du Canada de la Bataille-du-Moulin-à-Vent,geo names db
+,123456789s/18,Area,Kingroy Lake,Lac Kingroy,geo names db
+,123456789s/18,Area,Saguenay-St. Lawrence Marine Park,Parc marin du Saguenay - Saint-Laurent,geo names db
+,123456789s/18,Area,Merrickville Blockhouse National Historic Site of Canada,Lieu historique national du Canada du Blockhaus-de-Merrickville,geo names db
+,123456789s/18,Area,Richmond Training Area,Champ de manoeuvre Richmond,geo names db
+,123456789s/18,Area,Canadian Forces Base Bagotville,Base des Forces canadiennes Bagotville,geo names db
+,123456789s/18,Area,Acadian Village Wildlife Management Area,Unité d'aménagement de la faune du Village Acadien,geo names db
+,123456789s/18,Area,Bantalor Wildlife Management Area,Unité d'aménagement de la faune de Bantalor,geo names db
+,123456789s/18,Area,Becaguimac Wildlife Management Area,Unité d'aménagement de la faune de Becaguimac,geo names db
+,123456789s/18,Area,Burpee Wildlife Management Area,Unité d'aménagement de la faune Burpee,geo names db
+,123456789s/18,Area,Canaan River Wildlife Management Area,Unité d'aménagement de la faune de la rivière Canaan,geo names db
+,123456789s/18,Area,Fredericton Wildlife Refuge,Réserve de la faune de Fredericton,geo names db
+,123456789s/18,Area,Kedgwick Wildlife Management Area,Unité d'aménagement de la faune de Kedgwick,geo names db
+,123456789s/18,Area,Kindness Club Wildlife Refuge,Réserve de la faune du Club Kindness,geo names db
+,123456789s/18,Area,Kings Landing Wildlife Management Area,Unité d'aménagement de la faune de Kings Landing,geo names db
+,123456789s/18,Area,Lepreau River Wildlife Management Area,Unité d'aménagement de la faune de la rivière Lepreau,geo names db
+,123456789s/18,Area,MacDonald Farm Wildlife Management Area,Unité d'aménagement de la faune de la ferme MacDonald,geo names db
+,123456789s/18,Area,Minister's Island Wildlife Management Area,Unité d'aménagement de la faune de l'le Minister,geo names db
+,123456789s/18,Area,Mount Ararat Wildlife Management Area,Unité d'aménagement de la faune du mont Ararat,geo names db
+,123456789s/18,Area,Mount Carleton Wildlife Management Area,Unité d'aménagement de la faune du Mont Carleton,geo names db
+,123456789s/18,Area,O'dell Wildlife Refuge,Réserve de la faune O'dell,geo names db
+,123456789s/18,Area,Plaster Rock-Renous Wildlife Management Area,Unité d'aménagement de la faune de Plaster Rock-Renous,geo names db
+,123456789s/18,Area,Tracadie River Wildlife Management Area,Unité d'aménagement de la faune de la rivière Tracadie,geo names db
+,123456789s/18,Area,University of New Brunswick Wildlife Refuge,Rèserve de la faune de l'Université du Nouveau-Brunswick,geo names db
+,123456789s/18,Area,Utopia Wildlife Refuge,Réserve de la faune Utopia,geo names db
+,123456789s/18,Area,West Collette Wildlife Management Area,Unité d'aménagement de la faune de West Collette,geo names db
+,123456789s/18,Area,Wilson's Point Wildlife Refuge,Réserve de la faune de Wilson's Point,geo names db
+,123456789s/18,Area,Mnjikaning Fish Weirs National Historic Site of Canada,Lieu historique national du Canada des Barrages-de-Pêche-Mnjikaning,geo names db
+,123456789s/18,Area,The Fur Trade at Lachine National Historic Site of Canada,Lieu historique national du Canada du Commerce-de-la-Fourrure-à-Lachine,geo names db
+,123456789s/18,Area,Bellevue House National Historic Site of Canada,Lieu historique national du Canada de la Villa-Bellevue,geo names db
+,123456789s/18,Area,Barriefield Range and Training Area,Champ de tir et champ de manoeuvre Barriefield,geo names db
+,123456789s/18,Area,Culbute Channel,Chenal de la Culbute,geo names db
+,123456789s/18,Area,Canadian Forces Base Montréal,Base des Forces canadiennes Montréal,geo names db
+,123456789s/18,Area,Carillon Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Carillon,geo names db
+,123456789s/18,Area,Peterborough Lift Lock National Historic Site of Canada,Lieu historique national du Canada de l'écluse-Ascenseur-de-Peterborough,geo names db
+,123456789s/18,Area,Oxbow Site,Lieu Oxbow,geo names db
+,123456789s/18,Area,Canadian Forces Base/Area Support Unit Valcartier,Base des Forces canadiennes/unité de soutien de secteur Valcartier,geo names db
+,123456789s/18,Area,Ukkusiksalik National Park of Canada,Parc national du Canada Ukkusiksalik,geo names db
+,123456789s/18,Area,Chambly Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Chambly,geo names db
+,123456789s/18,Area,Oshawa Training Area,Champ de manoeuvre Oshawa,geo names db
+,123456789s/18,Area,12 Wing Shearwater,12e Escadre Shearwater,geo names db
+,123456789s/18,Area,Bethune Memorial House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Commmorative-Bethune,geo names db
+,123456789s/18,Area,Lachine Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Lachine,geo names db
+,123456789s/18,Area,Boundary Bay,Baie chez Lepage,geo names db
+,123456789s/18,Area,Deschênes Rapids,Rapides Deschênes,geo names db
+,123456789s/18,Area,Niagara-on-the-Lake Range and Training Area,Champ de tir et champ de manoeuvre Niagara-on-the-Lake,geo names db
